year	trt	core	plot	depth	BD	TN	TC	IC	OC	CN	oCN
2008	C2	1	16	15	1.358175786	0.288925526	3.361705627	0.64	2.721705627	11.63519772	9.420094029
2008	C2	1	16	30	1.52669653	0.175991046	2.066655414	0.827	1.239655414	11.74295775	7.043855036
2008	C2	1	16	5	1.582809519	0.343601874	3.961080211	0.426	3.535080211	11.52811005	10.28830307
2008	C2	1	16	15	1.27709102	0.326741608	3.618085738	0.425	3.193085738	11.07323232	9.772510318
2008	C2	1	16	30	1.350283169	0.178468153	2.184696352	0.563	1.621696352	12.24137931	9.086754849
2008	C2	1	16	5	1.118996277	0.319379739	3.801156012	0	3.801156012	11.90168176	11.90168176
2008	C2	1	16	15	1.312972211	0.284345502	3.34396901	0	3.34396901	11.7602318	11.7602318
2008	C2	1	16	30	1.492314949	0.207943562	2.571933529	0	2.571933529	12.36842105	12.36842105
2008	C2	1	16	5	1.285888083	0.322969299	3.879570237	0	3.879570237	12.01219512	12.01219512
2008	C2	1	16	15	1.286025056	0.298807827	3.348851808	0	3.348851808	11.20737648	11.20737648
2008	C2	1	16	30	1.292425194	0.290438204	3.503202186	0	3.503202186	12.06178161	12.06178161
2008	CC	2	21	5	1.127343999	0.245260613	3.068069503	0	3.068069503	12.50942606	12.50942606
2008	CC	2	21	15	1.299293244	0.213671328	2.493343096	0	2.493343096	11.66905787	11.66905787
2008	CC	2	21	30	1.487417409	0.190688781	2.325073926	0	2.325073926	12.19302949	12.19302949
2008	CC	2	21	5	1.375419796	0.209883648	2.465979882	0	2.465979882	11.74927114	11.74927114
2008	CC	2	21	15	1.430622513	0.219263896	2.648805183	0	2.648805183	12.08044383	12.08044383
2008	CC	2	21	30	1.406192772	0.208271416	2.66689008	0	2.66689008	12.80487805	12.80487805
2008	CC	2	21	5	1.273372147	0.185054537	2.071160194	0	2.071160194	11.19216113	11.19216113
2008	CC	2	21	15	1.36841334	0.171709716	2.059301667	0	2.059301667	11.99292453	11.99292453
2008	CC	2	21	30	1.500849594	0.134513849	1.628697318	0	1.628697318	12.10802701	12.10802701
2008	CC	2	21	5	1.574660966	0.208431868	2.380925498	0	2.380925498	11.42303969	11.42303969
2008	CC	2	21	15	1.593700751	0.183608065	2.232770969	0	2.232770969	12.16052776	12.16052776
2008	CC	2	21	30	1.451746826	0.186451659	2.156512658	0	2.156512658	11.56606852	11.56606852
2008	C2	2	22	5	1.046897201	0.240922564	2.913129194	0	2.913129194	12.09155817	12.09155817
2008	C2	2	22	15	1.305318929	0.23615224	2.773145361	0	2.773145361	11.74304069	11.74304069
2008	C2	2	22	30	1.366117056	0.198507915	2.380271021	0	2.380271021	11.99081164	11.99081164
2008	C2	2	22	5	1.267805116	0.2013576	2.452497133	0	2.452497133	12.17980914	12.17980914
2008	C2	2	22	15	1.421104775	0.197189229	2.279305239	0	2.279305239	11.55897436	11.55897436
2008	C2	2	22	30	1.324514043	0.213547846	2.498834585	0	2.498834585	11.70152091	11.70152091
2008	C2	2	22	5	1.326489504	0.18040463	2.007647263	0	2.007647263	11.12857945	11.12857945
2008	C2	2	22	15	1.426584583	0.178672926	1.972402998	0	1.972402998	11.03918228	11.03918228
2008	C2	2	22	30	1.44187266	0.173504769	1.9316594	0	1.9316594	11.13317757	11.13317757
2008	C2	2	22	5	1.416485022	0.191035463	2.117781903	0	2.117781903	11.08580508	11.08580508
2008	C2	2	22	15	1.488530149	0.178700212	1.878072447	0	1.878072447	10.50962627	10.50962627
2008	C2	2	22	30	1.458108716	0.174130588	1.919693444	0	1.919693444	11.02444703	11.02444703
