"year" "block" "plot" "trt" "depth" "point" "mass"
"2010" "4" "42" "CCW" "15" "10" 0.29371069175
"2010" "4" "42" "CCW" "30" "22.5" 0.199550764
"2010" "4" "42" "CCW" "60" "45" 0.6440029615
"2010" "4" "42" "CCW" "100" "80" 0.13733958525
"2010" "4" "43" "CC" "5" "2.5" 0.1955974845
"2010" "4" "43" "CC" "15" "10" 0.203998203
"2010" "4" "43" "CC" "30" "22.5" 0.18638814025
"2010" "4" "43" "CC" "60" "45" 0.58563672275
"2010" "4" "43" "CC" "100" "80" 0.17880059225
"2010" "4" "44" "C2" "5" "2.5" 0.02475292
"2010" "4" "44" "C2" "15" "10" 0.0368823
"2010" "4" "44" "C2" "30" "22.5" 0.04344115
"2010" "4" "44" "C2" "60" "45" 0.1152517275
"2010" "4" "44" "C2" "100" "80" 0.0916831195
"2010" "4" "45" "S2" "5" "2.5" 0.08557951475
"2010" "4" "45" "S2" "15" "10" 0.09874213825
"2010" "4" "45" "S2" "30" "22.5" 0.1517520215
"2010" "4" "45" "S2" "60" "45" 0.24099210275
"2010" "4" "45" "S2" "100" "80" 0.130923001
"2010" "4" "46" "P" "5" "2.5" 4.5356244385
"2010" "4" "46" "P" "15" "10" 1.85341419575
"2010" "4" "46" "P" "30" "22.5" 0.74191374675
"2010" "4" "46" "P" "60" "45" 0.95829220125
"2010" "4" "46" "P" "100" "80" 0.429047384
"2011" "1" "11" "C2" "5" "2.5" 0.6542448175
"2011" "1" "11" "C2" "15" "10" 0.28356367225
"2011" "1" "11" "C2" "30" "22.5" 0.119817374
"2011" "1" "11" "C2" "60" "45" 0.16485686075
"2011" "1" "11" "C2" "100" "80" 0.19249753225
"2011" "1" "12" "CC" "5" "2.5" 0.04355873625
"2011" "1" "12" "CC" "15" "10" 0.22458045425
"2011" "1" "12" "CC" "30" "22.5" 0.15461500475
"2011" "1" "12" "CC" "60" "45" 0.21976801575
"2011" "1" "12" "CC" "100" "80" 0.343904245
"2011" "1" "13" "P" "5" "2.5" 3.132527147
"2011" "1" "13" "P" "15" "10" 2.53158933875
"2011" "1" "13" "P" "30" "22.5" 0.9808736425
"2011" "1" "13" "P" "60" "45" 1.173247779
"2011" "1" "13" "P" "100" "80" 0.653504442
"2011" "1" "14" "CCW" "5" "2.5" 0.283645936
"2011" "1" "14" "CCW" "15" "10" 0.32058242825
"2011" "1" "14" "CCW" "30" "22.5" 0.315893386
"2011" "1" "14" "CCW" "60" "45" 0.32564165825
"2011" "1" "14" "CCW" "100" "80" 0.278010859
"2011" "1" "15" "PF" "5" "2.5" 1.055774926
"2011" "1" "15" "PF" "15" "10" 0.9321322805
